player_name,position,height,height_with_shoes,weight,wingspan,standing_reach,body_fat_percentage,hand_length,hand_width,draft_year
Blake Wesley,SG,190.5,193.68,84.91,206.38,261.62,5.6,20.96,22.86,2022
Alondes Williams,SG,192.4,195.58,94.8,200.66,259.08,7.2,21.59,23.5,2022
Jalen Williams,SG,194.31,197.48,94.89,219.08,267.97,8.9,21.59,24.13,2022
Jaylin Williams,C,205.1,208.28,107.32,215.9,275.59,8.0,21.59,26.67,2022
Trevion Williams,C,201.3,205.1,120.02,220.34,275.59,10.8,22.86,26.04,2022
Bryson Williams,PF/C,,,,,,,,,2022
Mark Williams,C,213.36,218.44,109.95,229.87,297.18,5.4,22.86,24.76,2022
Jalen Wilson,SF/PF,,,,,,,,,2022
Fanbo Zeng,SF/PF,,,,,,,,,2022
Max Abmas,PG,179.07,182.24,73.39,187.32,238.76,5.5,20.32,19.68,2021
Ochai Agbaji,SG,194.31,196.85,97.25,208.28,262.89,4.15,22.86,22.22,2021
Marcus Bagley,SF,198.12,202.56,98.34,210.82,260.35,7.5,22.22,21.59,2021
Scottie Barnes,SF,200.66,203.2,102.24,220.34,274.32,5.3,23.5,26.04,2021
Charles Bassey,C,206.38,208.92,104.42,220.98,273.05,5.9,22.86,24.13,2021
Brandon Boston Jr.,SF,197.48,200.66,85.28,210.18,264.16,6.0,22.86,24.76,2021
James Bouknight,SG,191.77,194.94,86.18,203.84,257.81,5.5,22.22,22.86,2021
Greg Brown III,PF,201.3,204.47,93.62,214.0,271.78,5.5,22.86,24.76,2021
Jared Butler,PG,188.6,192.4,87.54,193.04,250.19,5.1,21.59,20.96,2021
Julian Champagnie,SF,199.39,201.93,98.61,208.28,270.51,8.0,22.86,21.59,2021
Justin Champagnie,PF,197.48,200.02,93.62,207.01,264.16,6.3,22.22,21.59,2021
Josh Christopher,SG,191.14,194.31,97.43,206.38,256.54,5.8,22.22,21.59,2021
Sharife Cooper,PG,,,,,,,,,2021
Cade Cunningham,PG,,,,,,,,,2021
Ayo Dosunmu,SG,191.77,195.58,88.18,208.92,259.08,4.9,21.59,22.22,2021
David Duke Jr.,SG,193.68,196.85,92.35,205.1,260.35,5.9,21.59,22.86,2021
Kessler Edwards,PF,200.66,203.2,92.08,211.46,269.24,4.3,21.59,20.96,2021
Luka Garza,C,208.28,211.46,110.13,217.17,273.05,11.7,22.86,23.5,2021
RaiQuan Gray,PF,199.39,202.56,121.83,210.18,266.7,17.3,23.5,22.86,2021
Jalen Green,SG,,,,,,,,,2021
Quentin Grimes,SG,193.04,196.22,92.99,203.2,256.54,6.6,21.59,25.4,2021
Sam Hauser,SF,200.02,203.2,98.61,206.38,259.08,7.9,20.96,22.86,2021
Aaron Henry,SF,194.31,198.12,95.07,210.18,262.89,5.6,21.59,23.5,2021
Ariel Hukporti,C,210.18,213.36,111.58,219.71,283.21,8.1,24.13,24.13,2021
Matt Hurt,PF,204.47,207.01,105.41,207.01,270.51,15.2,22.86,22.86,2021
Nah'Shon Hyland,SG,187.96,191.77,76.66,206.38,257.81,5.8,22.22,22.86,2021
Isaiah Jackson,C,,,,,,,,,2021
David Johnson,SG,191.14,194.94,91.99,209.55,264.16,7.5,20.96,21.59,2021
Jalen Johnson,PF,202.56,206.38,95.07,214.0,269.24,4.5,24.76,26.67,2021
Keon Johnson,SG,191.77,194.94,83.82,201.3,246.38,4.4,21.59,22.86,2021
Carlik Jones,PG,182.88,185.42,78.74,195.58,247.65,4.5,20.96,22.86,2021
Kai Jones,PF,208.28,212.09,100.43,217.8,280.67,4.7,22.86,24.13,2021
Herbert Jones,SF,198.12,201.3,93.62,214.0,269.24,5.8,21.59,22.86,2021
Johnny Juzang,SG,196.85,200.66,94.8,209.55,255.27,8.0,21.59,24.13,2021
Corey Kispert,SF,198.12,201.3,101.51,200.66,259.08,6.8,22.22,25.4,2021
Jonathan Kuminga,SF,,,,,,,,,2021
AJ Lawson,SG/SF,196.85,200.02,81.28,200.02,252.73,4.4,21.59,23.5,2021
Scottie Lewis,SF,193.04,196.22,85.09,213.36,257.81,4.7,22.22,24.76,2021
Isaiah Livers,SF,197.48,201.3,105.14,206.38,265.43,9.4,22.86,24.13,2021
Makur Maker,C,208.92,211.46,105.32,217.8,284.48,14.5,22.22,24.13,2021
Sandro Mamukelashvili,C,205.74,208.28,108.77,216.54,270.51,7.8,22.86,24.13,2021
Tre Mann,PG,191.14,193.68,80.56,193.04,250.19,4.1,20.32,22.86,2021
Matthew Mayer,PF,,,,,,,,,2021
Miles McBride,PG,185.42,189.23,88.54,205.1,252.73,6.0,22.86,24.13,2021
Davion Mitchell,PG,182.88,186.06,91.81,193.68,245.11,6.2,20.96,22.22,2021
Evan Mobley,PF,,,,,,,,,2021
Isaiah Mobley,PF,203.2,207.64,107.95,220.98,273.05,12.9,22.86,25.4,2021
Moses Moody,SG,194.31,198.12,95.53,215.26,266.7,6.8,22.86,25.4,2021
Trey Murphy III,SF,201.93,206.38,93.44,213.36,267.97,8.1,21.59,22.86,2021
Daishen Nix,PG,190.5,193.68,102.33,200.02,254.0,11.8,21.59,22.86,2021
John Petty Jr.,SG,194.31,197.48,84.46,207.01,262.89,5.6,21.59,22.86,2021
Yves Pons,PF,196.85,200.02,93.62,215.26,264.16,4.0,22.86,23.5,2021
Jason Preston,PG,190.5,193.04,81.92,204.47,255.27,5.45,21.59,23.5,2021
Joshua Primo,SG,193.04,195.58,85.73,206.38,260.35,6.3,22.86,25.4,2021
Roko Prkacin,PF,201.93,206.38,102.24,210.82,271.78,7.0,22.22,23.5,2021
Neemias Queta,C,211.46,214.63,112.67,223.52,285.75,7.6,23.5,26.67,2021
Austin Reaves,SG,194.31,197.48,89.45,198.76,256.54,11.0,20.32,20.96,2021
Jeremiah Robinson-Earl,PF,202.56,205.74,109.95,207.64,267.97,8.9,22.86,24.76,2021
Terrence Shannon Jr.,SF,196.85,199.39,93.71,203.84,254.0,6.7,20.32,20.32,2021
Day'Ron Sharpe,C,,,,,,,,,2021
Jericho Sims,C,205.74,208.28,113.49,221.62,269.24,5.5,22.86,24.76,2021
Jaden Springer,SG,190.5,193.68,91.63,202.56,251.46,6.3,21.59,24.76,2021
DJ Steward,PG,184.78,187.32,73.57,200.66,250.19,5.0,21.59,22.86,2021
Cam Thomas,SG,,,,,,,,,2021
JT Thor,PF,204.47,206.38,92.08,221.62,279.4,6.1,23.5,24.13,2021
Isaiah Todd,PF,205.1,208.28,99.34,216.54,273.05,6.2,22.86,24.76,2021
Duane Washington Jr.,SG,188.6,192.4,89.27,202.56,256.54,5.1,20.96,22.22,2021
Trendon Watford,PF,201.93,205.1,107.68,219.08,266.7,10.1,24.13,24.13,2021
Joe Wieskamp,SF,197.48,201.3,92.9,210.82,261.62,4.1,21.59,23.5,2021
Aaron Wiggins,SG/SF,194.31,195.58,86.18,207.64,261.62,5.0,22.22,21.59,2021
Ziaire Williams,SF,203.84,207.64,85.46,208.92,270.51,4.4,22.86,22.22,2021
Moses Wright,PF,202.56,205.74,102.42,215.26,271.78,5.6,22.86,24.13,2021
McKinley Wright IV,PG,180.98,183.52,87.18,196.22,238.76,6.7,21.59,22.86,2021
Marcus Zegarowski,PG,184.78,187.96,82.01,189.86,243.84,7.2,20.32,24.13,2021
Precious Achiuwa,PF,201.93,204.98,106.14,215.26,275.59,6.7,22.86,25.4,2020
Ty-Shon Alexander,SG,187.96,193.04,91.08,203.2,254.0,12.3,22.22,22.22,2020
Udoka Azubuike,C,208.28,212.09,117.71,231.78,276.86,9.61,23.5,25.4,2020
Tyler Bey,PF,198.12,200.66,96.52,216.54,267.97,5.0,21.59,22.86,2020
Yoeli Childs,PF,198.12,200.66,102.69,212.09,269.24,8.2,22.22,25.4,2020
Mamadi Diakite,PF,204.47,208.79,100.74,222.88,271.78,7.83,22.86,26.04,2020
Devon Dotson,PG,184.15,187.2,84.01,190.5,241.3,4.6,20.96,25.4,2020
Paul Eboua,SF/PF,198.12,201.93,100.79,222.25,274.32,3.8,22.86,26.04,2020
CJ Elleby,SG/SF,196.85,198.63,90.08,201.3,255.27,4.2,22.22,25.4,2020
Trent Forrest,PG,191.77,194.82,92.08,201.93,260.35,5.65,22.86,24.76,2020
Josh Green,SG/SF,194.31,196.85,97.07,207.64,257.81,6.8,20.32,22.22,2020
Ashton Hagans,PG,186.69,189.23,87.54,203.2,252.73,4.1,22.86,22.86,2020
Joshua Hall,SF,198.12,201.93,89.18,210.82,265.43,7.6,22.22,24.13,2020
Jalen Harris,SG,189.86,193.55,87.72,200.66,247.65,4.4,20.96,24.13,2020
Markus Howard,PG,176.53,180.34,77.47,183.52,232.41,9.91,21.59,19.68,2020
Elijah Hughes,SF/SG,194.94,199.39,103.87,201.93,257.81,10.2,21.59,22.22,2020
Isaiah Joe,SG,190.5,194.31,77.29,201.93,256.54,4.7,20.96,20.96,2020
Mason Jones,SG,192.4,197.36,93.98,200.66,260.35,8.9,22.22,21.59,2020
Nathan Knight,PF/C,203.2,207.52,106.59,218.44,278.13,8.2,22.86,24.13,2020
Theo Maledon,PG,193.04,195.58,85.0,205.1,255.27,2.8,21.59,25.4,2020
Karim Mane,PG/SG,195.58,198.12,88.9,210.82,259.08,3.73,21.59,24.76,2020
Naji Marshall,SF,197.48,200.66,105.91,215.26,260.35,8.7,23.5,26.67,2020
Kenyon Martin Jr.,SF/PF,198.12,200.66,96.71,201.3,259.08,5.9,21.59,22.22,2020
Skylar Mays,SG,190.5,193.04,92.53,198.12,251.46,7.4,20.32,24.76,2020
Zeke Nnaji,PF/C,206.38,209.55,111.95,218.44,267.97,5.9,22.86,26.67,2020
