League,Season,Stage,Player,Team,GP,MIN,FGM,FGA,3PM,3PA,FTM,FTA,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,birth_date,height_cm,weight_stats,weight_kg,nationality,high_school,draft_round,draft_pick,draft_team,player_norm,position,height_anthro,height_with_shoes,weight_anthro,wingspan,standing_reach,body_fat_percentage,hand_length,hand_width,draft_year,FGM_per_min,FGA_per_min,3PM_per_min,3PA_per_min,FTM_per_min,FTA_per_min,TOV_per_min,PF_per_min,ORB_per_min,DRB_per_min,REB_per_min,AST_per_min,STL_per_min,BLK_per_min,PTS_per_min,TEAM_ATL,TEAM_BOS,TEAM_BRK,TEAM_CHA,TEAM_CHI,TEAM_CLE,TEAM_DAL,TEAM_DEN,TEAM_DET,TEAM_GSW,TEAM_HOU,TEAM_IND,TEAM_LAC,TEAM_LAL,TEAM_MEM,TEAM_MIA,TEAM_MIL,TEAM_MIN,TEAM_NOP,TEAM_NYK,TEAM_OKC,TEAM_ORL,TEAM_OTHER,TEAM_PHI,TEAM_PHX,TEAM_POR,TEAM_SAC,TEAM_SAS,TEAM_TOR,TEAM_UTA,TEAM_WAS
NBA,2015 - 2016,Playoffs,Kyle Anderson,SAS,10,128.8,8,25,1,3,6,7,4,11,2,22,24,7,6,3,23,20.09.1993,206.0,230.0,104.0,United States,St. Anthony High School,1.0,30.0,San Antonio Spurs,kyle anderson,SF,201.93,204.47,104.37,220.34,273.05,13.35,20.96,22.22,2014,0.062112,0.194099,0.007764,0.023292,0.046584,0.054348,0.031056,0.085404,0.015528,0.170807,0.186335,0.054348,0.046584,0.023292,0.178571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NBA,2015 - 2016,Playoffs,Brandon Rush,GSW,14,110.0,9,20,4,12,1,2,2,9,0,23,23,3,2,2,23,07.07.1985,198.0,220.0,100.0,United States,Mt. Zion Christian Academy,1.0,13.0,Portland Trail Blazers,brandon rush,SG/SF,195.58,199.39,95.89,211.46,265.43,,,,2005,0.081818,0.181818,0.036364,0.109091,0.009091,0.018182,0.018182,0.081818,0.0,0.209091,0.209091,0.027273,0.018182,0.018182,0.209091,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NBA,2015 - 2016,Playoffs,Corey Brewer,HOU,5,77.2,7,27,1,10,7,8,6,13,3,4,7,8,0,1,22,05.03.1986,206.0,186.0,84.0,United States,Portland High School,1.0,7.0,Minnesota Timberwolves,corey brewer,SF/SG,198.12,202.56,83.91,203.84,261.62,4.2,,,2007,0.090674,0.349741,0.012953,0.129534,0.090674,0.103627,0.07772,0.168394,0.03886,0.051813,0.090674,0.103627,0.0,0.012953,0.284974,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NBA,2015 - 2016,Playoffs,Udonis Haslem,MIA,9,84.6,8,15,0,0,5,7,7,13,11,20,31,4,0,1,21,09.06.1980,203.0,235.0,107.0,United States,Miami High School,,,,udonis haslem,PF,202.56,,113.4,210.82,271.78,,,,2002,0.094563,0.177305,0.0,0.0,0.059102,0.082742,0.082742,0.153664,0.130024,0.236407,0.36643,0.047281,0.0,0.01182,0.248227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NBA,2015 - 2016,Playoffs,Tim Hardaway Jr.,ATL,9,87.3,7,26,2,14,4,6,3,2,0,9,9,7,0,1,20,16.03.1992,198.0,205.0,93.0,United States,Palmetto High School,1.0,24.0,New York Knicks,tim hardaway jr,SG,194.31,198.76,90.45,200.66,256.54,6.05,20.32,23.5,2013,0.080183,0.297824,0.02291,0.160367,0.045819,0.068729,0.034364,0.02291,0.0,0.103093,0.103093,0.080183,0.0,0.011455,0.229095,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NBA,2015 - 2016,Playoffs,Mo Williams,CLE,13,68.1,8,28,3,13,1,2,10,8,0,6,6,3,4,0,20,19.12.1982,185.0,198.0,90.0,United States,Murrah High School,2.0,18.0,Utah Jazz,mo williams,PG/SG,184.78,,85.73,196.85,250.19,6.7,,,2003,0.117474,0.41116,0.044053,0.190896,0.014684,0.029369,0.146843,0.117474,0.0,0.088106,0.088106,0.044053,0.058737,0.0,0.293686,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NBA,2015 - 2016,Playoffs,Cameron Payne,OKC,10,64.3,7,26,2,10,2,4,8,7,0,4,4,8,2,2,18,08.08.1994,191.0,190.0,86.0,United States,Lausanne Collegiate School,1.0,14.0,Oklahoma City Thunder,cameron payne,PG,184.78,186.69,82.92,201.3,247.65,6.3,21.59,20.96,2015,0.108865,0.404355,0.031104,0.155521,0.031104,0.062208,0.124417,0.108865,0.0,0.062208,0.062208,0.124417,0.031104,0.031104,0.279938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
NBA,2015 - 2016,Playoffs,Wesley Johnson,LAC,6,76.8,5,14,3,9,3,3,2,6,5,13,18,2,1,4,16,11.07.1987,201.0,215.0,98.0,United States,Corsicana High School,1.0,4.0,Minnesota Timberwolves,wesley johnson,SF,198.76,201.3,93.62,215.9,269.24,4.6,22.86,24.13,2010,0.065104,0.182292,0.039062,0.117188,0.039062,0.039062,0.026042,0.078125,0.065104,0.169271,0.234375,0.026042,0.013021,0.052083,0.208333,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NBA,2015 - 2016,Playoffs,Ty Lawson,IND,7,73.6,6,18,0,3,4,6,6,8,1,6,7,10,3,0,16,03.11.1987,180.0,195.0,88.0,United States,Oak Hill Academy,1.0,18.0,Minnesota Timberwolves,ty lawson,PG,180.98,184.15,89.18,184.78,240.03,6.6,,,2009,0.081522,0.244565,0.0,0.040761,0.054348,0.081522,0.081522,0.108696,0.013587,0.081522,0.095109,0.13587,0.040761,0.0,0.217391,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NBA,2015 - 2016,Playoffs,Nick Collison,OKC,9,78.5,4,6,0,0,1,2,1,17,3,8,11,5,8,0,9,26.10.1980,208.0,255.0,116.0,United States,Iowa Falls High School,1.0,12.0,Seattle SuperSonics,nick collison,PF,205.1,,115.67,217.17,274.32,17.0,,,2003,0.050955,0.076433,0.0,0.0,0.012739,0.025478,0.012739,0.216561,0.038217,0.101911,0.140127,0.063694,0.101911,0.0,0.11465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
NBA,2015 - 2016,Playoffs,Luc Mbah a Moute,LAC,5,78.4,4,6,0,0,1,1,2,9,2,8,10,1,3,0,9,09.09.1986,203.0,230.0,104.0,Cameroon,Montverde Academy,2.0,7.0,Milwaukee Bucks,luc mbah a moute,SF,197.48,201.93,100.24,219.71,262.89,7.0,,,2008,0.05102,0.076531,0.0,0.0,0.012755,0.012755,0.02551,0.114796,0.02551,0.102041,0.127551,0.012755,0.038265,0.0,0.114796,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polish-TBL,2015 - 2016,International,Michael Hicks,PSG,31,945.2,171,416,83,240,108,127,61,90,18,104,122,64,37,2,533,17.06.1983,193.0,195.0,88.0,United States,,,,,michael hicks,SG,193.04,,89.36,206.38,255.27,7.3,,,2001,0.180914,0.440118,0.087812,0.253915,0.114262,0.134363,0.064537,0.095218,0.019044,0.11003,0.129073,0.067711,0.039145,0.002116,0.563902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Polish-TBL,2015 - 2016,International,Eric Williams,DAB,28,512.0,116,197,0,0,63,122,56,84,40,103,143,23,19,15,295,26.03.1984,206.0,280.0,127.0,United States,Wake Forest-Rolesville High School,,,,eric williams,C/PF,201.3,205.1,129.27,224.16,270.51,13.0,,,2006,0.226562,0.384766,0.0,0.0,0.123047,0.238281,0.109375,0.164062,0.078125,0.201172,0.279297,0.044922,0.037109,0.029297,0.576172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Serbian-KLS,2015 - 2016,International,Kevin Jones,PAR,13,313.0,67,131,7,25,19,32,15,28,32,32,64,15,12,12,160,25.08.1989,203.0,260.0,118.0,United States,Mount Vernon High School,,,,kevin jones,PF,198.76,201.93,113.94,217.17,266.7,11.2,22.86,19.68,2012,0.214058,0.41853,0.022364,0.079872,0.060703,0.102236,0.047923,0.089457,0.102236,0.102236,0.204473,0.047923,0.038339,0.038339,0.511182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Serbian-KLS,2015 - 2016,International,Quincy Miller,ZVE,12,234.0,45,90,17,43,13,15,16,25,7,41,48,18,14,12,120,18.11.1992,206.0,210.0,95.0,United States,Westchester Country Day School,2.0,8.0,Denver Nuggets,quincy miller,SF,205.1,208.28,99.2,216.54,266.7,7.8,23.5,26.04,2012,0.192308,0.384615,0.07265,0.183761,0.055556,0.064103,0.068376,0.106838,0.029915,0.175214,0.205128,0.076923,0.059829,0.051282,0.512821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
South-Korean-KBL,2015 - 2016,International,Andre Emmett,KCC,64,1948.9,635,1208,83,246,325,403,182,87,103,324,427,196,80,9,1678,27.08.1982,196.0,224.0,102.0,United States,David W Carter High School,2.0,6.0,Seattle SuperSonics,andre emmett,SG/SF,191.77,194.31,97.98,205.74,254.0,6.7,,,2004,0.325825,0.619837,0.042588,0.126225,0.166761,0.206783,0.093386,0.044641,0.05285,0.166248,0.219098,0.10057,0.041049,0.004618,0.860999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
South-Korean-KBL,2015 - 2016,International,David Simon,SKK,51,1614.6,430,787,2,8,184,276,126,119,120,338,458,100,44,91,1046,10.08.1982,206.0,260.0,118.0,United States,Stevenson High School,,,,david simon,C/PF,203.2,207.01,117.39,222.25,274.32,,,,2005,0.26632,0.487427,0.001239,0.004955,0.11396,0.17094,0.078038,0.073702,0.074322,0.20934,0.283662,0.061935,0.027251,0.056361,0.647838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
South-Korean-KBL,2015 - 2016,International,Charles Rhodes,ANY,58,1714.0,432,815,9,43,141,207,120,187,140,359,499,107,55,92,1014,25.06.1985,203.0,240.0,109.0,United States,Lanier High School,,,,charles rhodes,PF,201.3,203.84,110.68,211.46,273.05,10.7,,,2008,0.252042,0.475496,0.005251,0.025088,0.082264,0.12077,0.070012,0.109102,0.08168,0.209452,0.291132,0.062427,0.032089,0.053676,0.591599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Spanish-ACB,2015 - 2016,International,Justin Hamilton,VAL,40,921.3,227,422,37,86,69,90,46,79,64,151,215,26,40,34,560,01.04.1990,213.0,255.0,116.0,United States / Croatia,Lone Peak High School,2.0,15.0,Philadelphia Sixers,justin hamilton,PG/SG,190.5,,98.43,210.82,261.62,8.0,,,2003,0.246391,0.458048,0.040161,0.093346,0.074894,0.097688,0.049929,0.085748,0.069467,0.163899,0.233366,0.028221,0.043417,0.036904,0.607837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Spanish-ACB,2015 - 2016,International,Justin Doellman,FCB,40,982.5,168,343,50,116,88,106,40,74,59,142,201,63,44,10,474,03.02.1985,206.0,210.0,95.0,United States / Kosovo,Ryle High School,,,,justin doellman,PF,203.2,207.01,92.99,205.1,266.7,7.0,,,2007,0.170992,0.349109,0.050891,0.118066,0.089567,0.107888,0.040712,0.075318,0.060051,0.144529,0.20458,0.064122,0.044784,0.010178,0.482443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Spanish-ACB,2015 - 2016,International,Tomas Satoransky,FCB,43,1046.7,166,293,43,98,86,111,63,81,20,107,127,184,41,6,461,30.10.1991,201.0,210.0,95.0,Czech Republic,,2.0,2.0,Washington Wizards,tomas satoransky,PG/SG,199.39,201.93,90.99,201.3,254.0,5.2,21.59,24.13,2012,0.158594,0.279927,0.041081,0.093628,0.082163,0.106048,0.060189,0.077386,0.019108,0.102226,0.121334,0.175791,0.039171,0.005732,0.440432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
